繁體	简体	吴拼	分类	页码
雪地蕻	雪地蕻	syuq di hon	食品	72
貝母地菜	贝母地菜	pei meu di tshe	食品	72
花蓮菜	花莲菜	huo li tshe	食品	73
花地菜	花地菜	huo di tshe	食品	73
地菜	地菜	di tshe	食品	73
馬蘭頭	马兰头	mo lae deu	食品	73
青	青	chin1	食品	73
板青	板青	pae chin	食品	73
苔生	苔生	de san	食品	73
青浪	青浪	chin laon	食品	73
苔條	苔条	de diau	食品	73
苔菜	苔菜	de tshe	食品	73
香萵筍	香莴笋	shian wu syun	食品	73
洋蔥頭	洋葱头	yan tshon deu	食品	73
碗頭蔥	碗头葱	un deu tshon	食品	73
碗蔥	碗葱	un tshon	食品	73
辣茄	辣茄	laq jie	食品	73
香蕈	香蕈	shian jin	食品	73
蕈	蕈	zyun4	食品	73
平菇	平菇	bin ku	食品	73
天蘿	天萝	thi lou	食品	73
夜開花	夜开花	ya khe huo	食品	73
早蒲	早蒲	tsau bu	食品	73
蒲	蒲	bu6	食品	73
黃泥拱	黄泥拱	waon gni kon	食品	73
黃泥拱筍	黄泥拱笋	waon gni kon syun	食品	73
行鞭筍	行鞭笋	ghan pi syun	食品	73
鞭筍	鞭笋	pi syun	食品	73
野山筍	野山笋	ya sae syun	食品	73
腳骨筍	脚骨笋	ciaq kuaq syun	食品	73
烏筍	乌笋	u syun	食品	73
龍鬚筍	龙须笋	lon syu syun	食品	74
雷筍	雷笋	lei syun	食品	74
鰻筍	鳗笋	mun syun	食品	74
羊尾筍	羊尾笋	yan mi syun	食品	74
野山茶	野山茶	ya sae dzo	食品	74
老茶婆	老茶婆	lau dzo bou	食品	74
白蒲	白蒲	baq bu	食品	74
白蒲西瓜	白蒲西瓜	baq bu shi kuo	食品	74
脆瓜	脆瓜	tshei kuo	食品	74
稍瓜	稍瓜	sau kuo	食品	74
烏鱧魚瓜	乌鳢鱼瓜	u li ng kuo	食品	74
竹管筒瓜	竹管筒瓜	tsoq kun don kuo	食品	74
黃金瓜	黄金瓜	waon cin kuo	食品	74
海冬青	海冬青	he ton chin	食品	74
了藤瓜	了藤瓜	liau den kuo	食品	74
了藤飯瓜	了藤饭瓜	liau den vae kuo	食品	74
攋藤瓜	𪮶藤瓜	la den kuo	食品	74
𢪂藤瓜	𢪂藤瓜	da den kuo	食品	74
飯瓜	饭瓜	vae kuo	食品	74
生梨	生梨	san li	食品	74
蕭梨	萧梨	shiau li	食品	74
梨頭	梨头	li deu	食品	74
水蜜桃	水蜜桃	syu miq dau	食品	74
金柑	金柑	cin ki	食品	74
金蛋	金蛋	cin dae	食品	74
文旦	文旦	ven tae	食品	74
香泡	香泡	shian phau	食品	74
廣橘	广橘	kuaon ciuq	食品	74
吊紅	吊红	tiau ghon	食品	75
底紅	底红	ti ghon	食品	75
金孟	金孟	cin man	食品	75
金厖	金厖	cin man	食品	75
胓㠮	胓㠮	phan phon	食品	75
木蓮	木莲	moq li	食品	75
金鈴子	金铃子	cin lin tsy	食品	75
紫葡萄	紫葡萄	tsy bu dau	食品	75
紫胡桃	紫胡桃	tsy wu dau	食品	75
水胡桃	水胡桃	syu wu dau	食品	75
白蒲棗	白蒲枣	baq bu tsau	食品	75
圓眼	圆眼	yu ngae	食品	75
杏梅	杏梅	ghan mei	食品	75
苗	苗	miau4	食品	75
苗子	苗子	miau tsy	食品	75
苗公	苗公	miau kon	食品	75
摘公	摘公	tsaq kon	食品	75
蛇苗	蛇苗	dzo miau	食品	75
蛇果果	蛇果果	dzo kou kou	食品	75
桑果	桑果	saon kou	食品	75
桑果果	桑果果	saon kou kou	食品	75
黑飯	黑饭	haq vae	食品	75
三十六桶	三十六桶	sae zyuq loq don	食品	75
毛栗	毛栗	mau liq	食品	75
株栗	株栗	tsyu liq	食品	75
小胡桃	小胡桃	shiau wu dau	食品	75
青果	青果	chin kou	食品	75
蒲薺	蒲荠	bu ji	食品	75
老菱	老菱	lau lin	食品	76
刺菱	刺菱	tshy lin	食品	76
水菱	水菱	syu lin	食品	76
香瓜子	香瓜子	shian kuo tsy	食品	76
飯瓜子	饭瓜子	vae kuo tsy	食品	76
南瓜子	南瓜子	nei kuo tsy	食品	76
蓮心	莲心	li shin	食品	76
聽頭	听头	thin deu	食品	76
聽頭貨	听头货	thin deu hou	食品	76
鹹齏	咸齑	ghae ci	食品	76
鹹𧆌	咸𧆌	ghae ci	食品	76
鹹虀	咸虀	ghae ci	食品	76
鹹韲	咸韲	ghae ci	食品	76
鹹菜	咸菜	ghae tshe	食品	76
鹹齏菜	咸齑菜	ghae ci tshe	食品	76
莧菜股	苋菜股	hae tshe ku	食品	76
莧菜管	苋菜管	hae tshe kun	食品	76
莧菜籽	苋菜籽	hae tshe tsy	食品	76
鹽茄糊	盐茄糊	yi jia wu	食品	76
臭冬瓜	臭冬瓜	chieu ton kuo	食品	76
醬豆腐	酱豆腐	cian deu vu	食品	76
黴豆腐	霉豆腐	mei deu vu	食品	76
黴千層	霉千层	mei chi zen	食品	76
黴乾菜	霉干菜	mei ki tshe	食品	76
線粉	线粉	shi fen	食品	76
粉乾	粉干	fen ki	食品	76
豆豉醬	豆豉酱	deu zy cian	食品	76
豆豉醬	豆豉酱	deu zyu cian	食品	76
豆板醬	豆板酱	deu pae cian	食品	76
雙缸醬	双缸酱	saon kaon cian	食品	76
辣貨醬	辣货酱	laq hou cian	食品	76
芋艿蓊	芋艿蓊	n na on	食品	76
芋艿蓊癟	芋艿蓊瘪	n na on piq	食品	76
筍麩鹹齏	笋麸咸齑	syun fu ghae ci	食品	76
筍麩鹹菜	笋麸咸菜	syun fu ghae tshe	食品	76
筍麩黃豆	笋麸黄豆	syun fu waon deu	食品	77
豆莢乾	豆荚干	deu ciaq ki	食品	77
鹽花	盐花	yi huo	食品	77
春餅	春饼	tshyun pin	食品	77
春捲	春卷	tshyun ciu	食品	77
路菜	路菜	lu tshe	食品	77
酒水	酒水	cieu syu	食品	77
好日酒	好日酒	hau gniq cieu	食品	77
開面酒	开面酒	khe mi cieu	食品	77
正酒	正酒	cin cieu	食品	77
豎屋酒	竖屋酒	zyu oq cieu	食品	77
進屋酒	进屋酒	cin oq cieu	食品	77
年夜飯	年夜饭	gni ya vae	食品	77
羹飯	羹饭	kan vae	食品	77
夜羹飯	夜羹饭	ya kan vae	食品	77
味之素	味之素	vi tsy su	食品	77
漉篩油	漉筛油	loq sy yeu	食品	77
抽油	抽油	chieu yeu	食品	77
米醋	米醋	mi tshu	食品	77
山粉	山粉	sae fen	食品	77
漿粉	浆粉	cian fen	食品	77
鹼水	碱水	kae syu	食品	77
料理	料理	liau li	食品	77
碗腳	碗脚	un ciaq	食品	77
碗腳	碗脚	un cian	食品	77
喫落腳	吃落脚	chioq loq cian	食品	77
酒腳	酒脚	cieu ciaq	食品	78
摐羹桶	𪭢羹桶	tshaon kan don	食品	78
搡羹桶	搡羹桶	saon kan don	食品	78
㪬落羹	㪬落羹	dzoq loq kan	食品	78
泔腳	泔脚	ki ciaq	食品	78
喫場	吃场	chioq jian	食品	78
喫場案	吃场案	chioq jian ei	食品	78
喫食	吃食	chioq zhiq	食品	78
湯水	汤水	thaon syu	食品	78
閒食	闲食	ghae zhiq	食品	78
碎食	碎食	sei zhiq	食品	78
碎食	碎食	saq zhiq	食品	78
伴手果	伴手果	bun shieu kou	食品	78
伴小果	伴小果	bun shiau kou	食品	78
包頭	包头	pau deu	食品	78
斧頭包	斧头包	fu deu pau	食品	78
高包	高包	kau pau	食品	78
望孃盤	望娘盘	maon gnian bun	食品	78
商量盞	商量盏	shian lian tsae	食品	78
淡包	淡包	dae pau	食品	78
饅頭	馒头	mun deu	食品	78
壽桃	寿桃	zhieu dau	食品	78
油包	油包	yeu pau	食品	78
金糰	金团	cin doe	食品	78
麻糰	麻团	mo doe	食品	78
湯果	汤果	thaon kou	食品	78
享先湯果	享先汤果	shian shi thaon kou	食品	79
開面湯果	开面汤果	khe mi thaon kou	食品	79
圓子	圆子	yu tsy	食品	79
湯糰	汤团	thaon doe	食品	79
豬油湯糰	猪油汤团	tsyu yeu thaon doe	食品	79
甜羹	甜羹	di kan	食品	79
湯果粉	汤果粉	thaon kou fen	食品	79
餡子	馅子	ghae tsy	食品	79
漿板	浆板	cian pae	食品	79
酒釀	酒酿	cieu gnian	食品	79
白藥	白药	baq yaq	食品	79
⿰米鬼	⿰米鬼	khuei5	食品	79
青糰	青团	chin doe	食品	79
𩞁餈	𩞁餈	mo zy	食品	79
糯米𩞁餈	糯米𩞁餈	nou mi mo zy	食品	79
青𩞁餈	青𩞁餈	chin mo zy	食品	79
糖糕	糖糕	daon kau	食品	79
油煠檜	油煠桧	yeu zaq kuei	食品	79
粢飯	粢饭	tshy vae	食品	79
粢飯糕	粢饭糕	tshy vae kau	食品	79
米饅頭	米馒头	mi mun deu	食品	79
黃𤿏糕	黄𤿏糕	waon nei kau	食品	80
水貼糕	水贴糕	syu thaq kau	食品	80
方糕	方糕	faon kau	食品	80
灰汁糰	灰汁团	huei ciq doe	食品	80
油貼黃	油贴黄	yeu thaq waon	食品	80
箸夾管	箸夹管	ji kaq kun	食品	80
麻餅	麻饼	mo pin	食品	80
千層餅	千层饼	chi zen pin	食品	80
和尚餅	和尚饼	ghou zaon pin	食品	80
洋錢餅	洋钱饼	yan ji pin	食品	80
金錢餅	金钱饼	cin ji pin	食品	80
苔生片	苔生片	de sen phi	食品	80
豆酥糖	豆酥糖	deu su daon	食品	80
油饡子	油饡子	yeu tsae tsy	食品	80
油饊子	油馓子	yeu tsae tsy	食品	80
油繩	油绳	yeu zhin	食品	80
年糕片	年糕片	gni kau phi	食品	80
年糕乾	年糕干	gni kau ki	食品	80
陰㫰絲	阴㫰丝	in laon sy	食品	80
年糕胖	年糕胖	gni kau phaon	食品	80
凍米胖	冻米胖	ton mi phaon	食品	80
米胖	米胖	mi phaon	食品	80
胖脯	胖脯	phaon bu	食品	80
凍米大胖	冻米大胖	ton mi da phaon	食品	80
凍米大王	冻米大王	ton mi da waon	食品	80
六穀胖	六谷胖	loq koq phaon	食品	80
凍米糖	冻米糖	ton mi daon	食品	81
炒毛麩	炒毛麸	tshau mau fu	食品	81
棒頭糖	棒头糖	baon deu daon	食品	81
小糖	小糖	shiau daon	食品	81
寸金糖	寸金糖	tshen cin daon	食品	81
牛皮糖	牛皮糖	ngeu bi daon	食品	81
發酵粉	发酵粉	faq kau fen	食品	81
老酵	老酵	lau kau	食品	81
酵頭	酵头	kau deu	食品	81
老酒	老酒	lau cieu	食品	81
燒酒	烧酒	shiau cieu	食品	81
槍斃燒	枪毙烧	chian bi shiau	食品	81
嗆拍	呛拍	chian phaq	食品	81
嗆氣	呛气	chian chi	食品	81
還魂酒	还魂酒	wae wen cieu	食品	81
茶	茶	dzo2	食品	81
清茶	清茶	chin dzo	食品	81
清水白滾湯	清水白滚汤	chin syu baq kuen thaon	食品	81
茶葉茶	茶叶茶	dzo yiq dzo	食品	81
冷茶	冷茶	lan dzo	食品	81
熱茶	热茶	gniq dzo	食品	81
赤泡茶	赤泡茶	chiq phau dzo	食品	81
棒冰	棒冰	baon pin	食品	81
地栗糕	地栗糕	di liq kau	食品	82
喫水	吃水	chioq syu	食品	82
熱食	热食	gniq zhiq	食品	82
發食	发食	faq zhiq	食品	82
氣	气	chi5	食品	82
口	口	kheu3	食品	82
屋裏	屋里	oq li	建筑	82
屋裏	屋里	uaq li	建筑	82
屋落	屋落	oq loq	建筑	82
屋地	屋地	oq di	建筑	82
屋基地	屋基地	oq ci di	建筑	82
屋爿	屋爿	oq bae	建筑	82
草屋	草屋	tshau oq	建筑	82
瓦屋	瓦屋	ngo oq	建筑	82
五架屋	五架屋	ng ko oq	建筑	82
五架屋	五架屋	ng ko on	建筑	82
七架屋	七架屋	chiq ko oq	建筑	82
七架屋	七架屋	chiq ko on	建筑	82
客堂間	客堂间	khaq daon kae	建筑	82
堂前	堂前	daon zhi	建筑	82
道地	道地	dau di	建筑	82
道場地	道场地	dau jian di	建筑	82
曬場地	晒场地	sa jian di	建筑	82
偏頭	偏头	phi deu	建筑	82
偏頭間	偏头间	phi deu kae	建筑	82
偏舍	偏舍	phi so	建筑	82
舍頭	舍头	so deu	建筑	82
舍頭間	舍头间	so deu kae	建筑	82
舍	舍	so1	建筑	82
柴間	柴间	za kae	建筑	82
喫飯間	吃饭间	chioq vae kae	建筑	83
竈偏間	灶偏间	tsau phi kae	建筑	83
竈跟	灶跟	tsau ken	建筑	83
竈跟間	灶跟间	tsau ken kae	建筑	83
竈頭間	灶头间	tsau deu kae	建筑	83
竈間	灶间	tsau kae	建筑	83
廚房間	厨房间	dzyu vaon kae	建筑	83
缸竈	缸灶	kaon tsau	建筑	83
老虎竈	老虎灶	lau fu tsau	建筑	83
竈頭	灶头	tsau deu	建筑	83
竈囪	灶囱	tsau tshon	建筑	83
竈樑頭	灶梁头	tsau lian deu	建筑	83
竈洞	灶洞	tsau don	建筑	83
竈屋洞	灶屋洞	tsau oq don	建筑	83
竈口地康	灶口地康	tsau kheu di khaon	建筑	83
竈前地康	灶前地康	tsau zhi di khaon	建筑	83
竈跟菩薩	灶跟菩萨	tsau ken bu saq	建筑	83
竈君菩薩	灶君菩萨	tsau ciun bu saq	建筑	83
火缸	火缸	hou kaon	建筑	83
坑頭	坑头	khan deu	建筑	83
坑頭間	坑头间	khan deu kae	建筑	83
坑跟間	坑跟间	khan ken kae	建筑	83
屙坑間	屙坑间	ou khan kae	建筑	83
屙缸	屙缸	ou kaon	建筑	83
便缸	便缸	bi kaon	建筑	83
過路	过路	kou lu	建筑	83
走路	走路	tseu lu	建筑	83
明瓦	明瓦	min ngo	建筑	83
隔火牆	隔火墙	kaq hou zhian	建筑	83
瓦爿牆	瓦爿墙	ngo bae zhian	建筑	83
龍骨牆	龙骨墙	lon kuaq zhian	建筑	83
亂石牆	乱石墙	loe zaq zhian	建筑	83
屋山尖頭	屋山尖头	oq sae ci deu	建筑	84
間架	间架	kae ko	建筑	84
壁角	壁角	piq koq	建筑	84
壁角落頭	壁角落头	piq koq loq deu	建筑	84
檐楯	檐楯	yi zyun	建筑	84
檐楯口	檐楯口	yi zyun kheu	建筑	84
滴水下	滴水下	tiq syu gho	建筑	84
階沿	阶沿	ka yi	建筑	84
上階沿	上阶沿	zaon ka yi	建筑	84
下階沿	下阶沿	gho ka yi	建筑	84
水溜	水溜	syu lieu	建筑	84
匯角	汇角	wei koq	建筑	84
匯角沿	汇角沿	wei koq yi	建筑	84
匯角頭	汇角头	wei koq deu	建筑	84
屋頭頂	屋头顶	oq deu ten	建筑	84
屋瓦頭頂	屋瓦头顶	oq ngo deu ten	建筑	84
閣頂	阁顶	koq ten	建筑	84
樓頂	楼顶	leu ten	建筑	84
路梯	路梯	lu the	建筑	84
格步梯	格步梯	kaq bu the	建筑	84
格步路梯	格步路梯	kaq bu lu the	建筑	84
路梯棚頭	路梯棚头	lu the ban deu	建筑	84
擱廊	搁廊	koq laon	建筑	84
闄腳	闄脚	iau ciaq	建筑	84
天井	天井	thi cin	建筑	84
老虎窗	老虎窗	lau fu tshaon	建筑	84
牆門	墙门	zhian men	建筑	85
矮門	矮门	a men	建筑	85
石庫門	石库门	zaq khu men	建筑	85
石庫牆門	石库墙门	zaq khu zhian men	建筑	85
門枋	门枋	men faon	建筑	85
門桯	门桯	men thin	建筑	85
門栿	门栿	men boq	建筑	85
地栿	地栿	di boq	建筑	85
門鈐	门钤	men jin	建筑	85
門鈕	门钮	men gnieu	建筑	85
門軋	门轧	men gaq	建筑	85
門關	门关	men kuae	建筑	85
敦枋	敦枋	ten faon	建筑	85
直門關	直门关	jiq men kuae	建筑	85
排門	排门	ba men	建筑	85
屋柱	屋柱	oq dzyu	建筑	85
磉盤石	磉盘石	saon bun zaq	建筑	85
磉子	磉子	saon tsy	建筑	85
窗門	窗门	tshaon men	建筑	85
窗檻	窗槛	tshaon khae	建筑	85
檻窗	檻窗	khae tshaon	建筑	85
窗頭	窗头	tshaon deu	建筑	85
窗簾	窗帘	tshaon li	建筑	85
紙窗	纸窗	tsy tshaon	建筑	85
推板	推板	thei pae	建筑	86
槅子	槅子	kaq tsy	建筑	86
亮梗	亮梗	lian kuan	建筑	86
迾柵	迾栅	laq saq	建筑	86
格柵	格栅	kaq saq	建筑	86
迾板	迾板	laq pae	建筑	86
遮迾	遮迾	tso laq	建筑	86
槍笆	枪笆	chian po	建筑	86
短牆	短墙	toe zhian	建筑	86
陰溝洞	阴沟洞	in keu don	建筑	86
陽溝	阳沟	ian keu	建筑	86
泥㒼	泥㒼	gni mun	建筑	86
閣板	阁板	koq pae	建筑	86
擱柵	搁栅	koq saq	建筑	86
洞殼板	洞壳板	don khoq pae	建筑	86
空心板	空心板	khon shin pae	建筑	86
預製板	预制板	yu tsyu pae	建筑	86
多孔板	多孔板	tou khon pae	建筑	86
桁條	桁条	ghan diau	建筑	86
木屑板	木屑板	moq shiq pae	建筑	86
鋸屑板	锯屑板	ki shiq pae	建筑	86
篾牑	篾牑	miq bi	建筑	86
磚牑	砖牑	tsoe bi	建筑	86
瓦片	瓦片	ngo phi	建筑	86
瓦爿	瓦爿	ngo bae	建筑	86
瓦爿灘	瓦爿滩	ngo bae thae	建筑	86
洋瓦	洋瓦	yan ngo	建筑	87
龍骨	龙骨	lon kuaq	建筑	87
開磚	开砖	khe tsoe	建筑	87
二五十	二五十	gni ng zyuq	建筑	87
斷橛	断橛	doe jiuq	建筑	87
亂石	乱石	loe zaq	建筑	87
塊石	块石	khuei zaq	建筑	87
條石	条石	diau zaq	建筑	87
沙灰	沙灰	so huei	建筑	87
富陽灰	富阳灰	fu yan huei	建筑	87
麻筋	麻筋	mo cin	建筑	87
紙筋	纸筋	tsy cin	建筑	87
畫境線	画境线	wo cin shi	建筑	87
踢腳線	踢脚线	thiq ciaq shi	建筑	87
貼隔壁	贴隔壁	thiaq kaq piq	建筑	87
門裏廂	门里厢	men li shian	建筑	87
鄰舍	邻舍	lin so	建筑	87
鄰舍家	邻舍家	lin so ko	建筑	87
隔壁鄰舍	隔壁邻舍	kaq piq lin so	建筑	87
鄰舍隔壁	邻舍隔壁	lin so kaq piq	建筑	87
草窠	草窠	tshau khou	建筑	87
草屋	草屋	tshau oq	建筑	87
混堂	混堂	wen daon	建筑	87
小菜場	小菜场	shiau tshe jian	建筑	88
糧站	粮站	lian dzae	建筑	88
店家	店家	ti ko	建筑	88
店堂	店堂	ti daon	建筑	88
店堂間	店堂间	ti daon kae	建筑	88
廣貨店	广货店	kuaon hou ti	建筑	88
南貨店	南货店	nei hou ti	建筑	88
鹹貨店	咸货店	ghae hou ti	建筑	88
醬貨店	酱货店	cian hou ti	建筑	88
剃頭店	剃头店	thi deu ti	建筑	88
貰器店	贳器店	syu chi ti	建筑	88
攤頭	摊头	thae deu	建筑	88
牢監	牢监	lau kae	建筑	88
監牢	监牢	kae lau	建筑	88
牛廄間	牛厩间	ngeu ji kae	建筑	88
牛廄	牛厩	ngeu ji	建筑	88
豬廄間	猪厩间	tsyu ji kae	建筑	88
豬廄	猪厩	tsyu ji	建筑	88
鴨廄間	鸭厩间	aq ji kae	建筑	88
雞柵	鸡栅	ci saq	建筑	88
豬槽	猪槽	tsyu zau	建筑	88
腳踏車	脚踏车	ciaq daq tsho	交通	88
踏腳車	踏脚车	daq ciaq tsho	交通	88
龍頭	龙头	lon deu	交通	88
踏腳	踏脚	daq ciaq	交通	88
撐腳	撑脚	tshan ciaq	交通	88
座墊	座垫	zou di	交通	88
書包架	书包架	syu pau ko	交通	88
捎棚	捎棚	sau ban	交通	88
鋼絲	钢丝	kaon sy	交通	89
輪盤	轮盘	len bun	交通	89
擂盤	擂盘	lei bun	交通	89
氣胎	气胎	chi the	交通	89
黃魚車	黄鱼车	waon ng tsho	交通	89
手拉車	手拉车	shieu lha tsho	交通	89
黃包車	黄包车	waon pau tsho	交通	89
救命車	救命车	cieu min tsho	交通	89
救火車	救火车	cieu hou tsho	交通	89
屙車	屙车	ou tsho	交通	89
抲人車	抲人车	kho gnin tsho	交通	89
淡包車	淡包车	dae pau tsho	交通	89
小包車	小包车	shiau pau tsho	交通	89
包車	包车	pau tsho	交通	89
拖鞋爿	拖鞋爿	thou gha bae	交通	89
馬達克	马达克	mo daq khaq	交通	89
機器腳踏車	机器脚踏车	ci chi ciaq daq tsho	交通	89
棚車	棚车	ban tsho	交通	89
火輪	火轮	hou len	交通	89
回聲	回声	wei sen	交通	89
地莊船	地庄船	di tsaon zoe	交通	89
抲魚船	抲鱼船	kho ng zoe	交通	89
⿰舟巤子	⿰舟巤子	laq tsy	交通	89
抲水	抲水	kho syu	交通	89
看鴨船	看鸭船	khi ae zoe	交通	89
腳搲船	脚搲船	ciaq uo zoe	交通	89
航船	航船	ghaon zoe	交通	89
櫓烏珠	橹乌珠	lu u tsyu	交通	89
風篷	风篷	fon bon	交通	89
篷	篷	bon2	交通	89
篙子	篙子	kau tsy	交通	89
船機	船机	zoe ci	交通	90
打水機船	打水机船	tan syu ci zoe	交通	90
石蛋路	石蛋路	zaq dae lu	交通	90
汽車路	汽车路	chi tsho lu	交通	90
機耕路	机耕路	ci kan lu	交通	90
火車路	火车路	hou tsho lu	交通	90
站頭	站头	dzae deu	交通	90
家計	家计	ko ci	器物用具	90
傢俬	家私	ko sy	器物用具	90
敲傢俬	敲家私	khau ko sy	器物用具	90
房空	房空	vaon khon	器物用具	90
家生	家生	ko san	器物用具	90
喫飯家生	吃饭家生	chioq vae ko san	器物用具	90
家火	家火	ko hou	器物用具	90
傢伙	家伙	ko hou	器物用具	90
嫁資	嫁资	ko tsy	器物用具	90
嫁資衣	嫁资衣	ko tsy i	器物用具	90
鋪陳	铺陈	phu jin	器物用具	90
衣櫥	衣橱	iu dzyu	器物用具	90
衣櫥	衣橱	u dzyu	器物用具	90
幢箱櫥	幢箱橱	dzaon shian dzyu	器物用具	90
穀櫥	谷橱	koq dzyu	器物用具	90
被櫃	被柜	bi jiu	器物用具	91
槓箱	杠箱	kaon shian	器物用具	91
挈夾	挈夹	chiq kaq	器物用具	91
眠牀	眠床	mi zaon	器物用具	91
鋪塢	铺坞	phu u	器物用具	91
涼牀	凉床	lian zaon	器物用具	91
高低牀	高低床	kau ti zaon	器物用具	91
白鴿籠	白鸽笼	baq kaq lon	器物用具	91
凳櫥	凳橱	ten dzyu	器物用具	91
牀桯	床桯	zaon thin	器物用具	91
牀廳	床厅	zaon thin	器物用具	91
藤繃	藤绷	den pan	器物用具	91
丈板	丈板	jian pae	器物用具	91
棕繃桯	棕绷桯	tson pan thin	器物用具	91
肚檔	肚档	du taon	器物用具	91
滑子	滑子	waq tsy	器物用具	91
明席	明席	min zhiq	器物用具	91
寧席	宁席	gnin zhiq	器物用具	91
甬席	甬席	ion zhiq	器物用具	91
被頭	被头	bi deu	器物用具	91
被擋頭	被挡头	bi taon deu	器物用具	91
被頭擋	被头挡	bi deu taon	器物用具	91
被夾裏	被夹里	bi kaq li	器物用具	91
被窠	被窠	bi khou	器物用具	91
被鋪	被铺	bi phu	器物用具	91
墊被	垫被	di bi	器物用具	91
重被	重被	dzon bi	器物用具	91
情被	情被	jin bi	器物用具	91
帳子㫰竿	帐子㫰竿	cian tsy laon ki	器物用具	92
踏牀	踏床	daq zaon	器物用具	92
踏牀	踏床	diq zaon	器物用具	92
地牀	地床	di zaon	器物用具	92
火櫃	火柜	hou jiu	器物用具	92
火櫃頭	火柜头	hou jiu deu	器物用具	92
睏椅	睏椅	khuen i	器物用具	92
睏椅	睏椅	khuen iu	器物用具	92
籮窠	箩窠	lou khou	器物用具	92
搖籮	摇箩	yau lou	器物用具	92
桌凳	桌凳	tsoq ten	器物用具	92
八仙桌	八仙桌	paq shi tsoq	器物用具	92
攃板桌	攃板桌	tsha pae tsoq	器物用具	92
碰和臺	碰和台	phan wu de	器物用具	92
抽斗	抽斗	chieu teu	器物用具	92
擱几	搁几	koq ci	器物用具	92
矮凳	矮凳	a ten	器物用具	92
擱排凳	搁排凳	koq ba ten	器物用具	92
衣櫥凳	衣橱凳	iu dzyu ten	器物用具	92
骨牌凳	骨牌凳	kuaq ba ten	器物用具	92
石階凳	石阶凳	zaq ka ten	器物用具	92
坐車	坐车	zou tsho	器物用具	92
坐車	坐车	zou tshoe	器物用具	92
鐵車	铁车	thiq tsho	器物用具	92
縫衣機	缝衣机	von i ci	器物用具	92
家空籃	家空篮	cia khon lae	器物用具	92
家空籃	家空篮	cian khon lae	器物用具	92
藤盤	藤盘	den bun	器物用具	93
粉線袋	粉线袋	fen shi de	器物用具	93
絎針	绗针	ghaon cin	器物用具	93
䌥被針	𦈠被针	in bi cin	器物用具	93
抵針	抵针	ti cin	器物用具	93
針屁眼	针屁眼	cin phi ngae	器物用具	93
骨針	骨针	kuaq cin	器物用具	93
竹針	竹针	tsoq cin	器物用具	93
鋼針	钢针	kaon cin	器物用具	93
面桶	面桶	mi don	器物用具	93
面盆	面盆	mi ben	器物用具	93
洋鉛面桶	洋铅面桶	yan khae mi don	器物用具	93
鋼精面桶	钢精面桶	kaon cin mi don	器物用具	93
腳桶	脚桶	ciaq don	器物用具	93
⿰氵丈腳面桶	⿰氵丈脚面桶	jian ciaq mi don	器物用具	93
⿰氵丈腳桶	⿰氵丈脚桶	jian ciaq don	器物用具	93
腳盆	脚盆	ciaq ben	器物用具	93
鉛桶	铅桶	khae don	器物用具	93
夜桶	夜桶	ya don	器物用具	93
三夜桶	三夜桶	sae ya don	器物用具	93
夜桶箱	夜桶箱	ya don shian	器物用具	93
夜桶金箱	夜桶金箱	ya don cin shian	器物用具	93
馬桶箱	马桶箱	ma don shian	器物用具	93
痰盂	痰盂	dae yu	器物用具	93
痰瓶	痰瓶	dae bin	器物用具	93
便桶	便桶	bi don	器物用具	93
料勺	料勺	liau zoq	器物用具	93
尿瓶	尿瓶	syu bin	器物用具	93
㫰竿	㫰竿	laon ki	器物用具	93
㫰丫叉	㫰丫叉	laon o tsho	器物用具	93
㫰衣墩	㫰衣墩	laon i ten	器物用具	93
㪝槌	㪝槌	li dzyu	器物用具	93
打花㪝槌	打花㪝槌	tan huo li dzyu	器物用具	94
彈花㪝槌	弹花㪝槌	dae huo li dzyu	器物用具	94
排刷	排刷	ba syuq	器物用具	94
板刷	板刷	pae syuq	器物用具	94
肥皂粉	肥皂粉	bi zau fen	器物用具	94
拖紛	拖纷	thou fon	器物用具	94
屙掃帚	屙扫帚	ou sau cieu	器物用具	94
玍掃帚	玍扫帚	tsyu sau cieu	器物用具	94
侏掃帚	侏扫帚	tsyu sau cieu	器物用具	94
